,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
92,ANALISIS MODEL E-BIKE DENGAN PENDEKATAN MULTRIKRITERIA ANALITICAL HIERARCHY PROCESS (AHP)  DAN PROMETHEE II,FARID UBAIDILLAH,"ARI BASUKI, S.T,. M.T.","MU'ALIM, S.T,. M.T.","Penelitian ini bertujuan untuk menjawab permasalahan mengenai eksistensi kendaraan yang kurang ramah lingkungan dan masih bergantung pada bahan bakar fosil. Kendaraan ini didesain dengan baik  untuk  memenuhi   kebutuhan  masyarakat  akan  kendaraan  yang  ramah lingkungan dan hemat bahan bakar dengan kecepatan maksimal yang ditempuh sekitar 20 km/jam selama kurang lebih satu jam dengan sekali pengisian baterai. Dalam penelitian yang berjudul Analisa model E-bike dengan pendekatan Multikriteria Analitical Hierarchy Process (AHP) dan Promethe II ini peneliti bermaksud mengatasi permasalahan di Laboratorium Sistem Manufaktur Pada pengolahan data yang dilakukan akan dianalisis menggunakan model pembobotan kriteria. Dilakukan melelui pendekatan metode Analytical Hierarchy Process (AHP) maka dipilih sebagian kriteriayang nantinya digunakan sebagai alternatif terbaik dengan beberapa parameter kriteria yang didapatkan pada tahap pengelompokan kriteria dari responden, produsen dan parah ahli dan di lanjutkan ke perhitungan dengan mengunakan metode promethee II untuk menentukan acuan model E-bike untuk merancang desain E-bike yang lebih sederhana dan ekonomis, desain alternatif model E-bike yang ke 3 yang terpilih dengan bobot kriteria-kriteria yang bobotnya paling tinggi adalah harga, material, keamanan, kemyamanan dan desain. Dari segi harganya nantinya untuk E-Bike lebih murah dan harganya sangat terjangkau, sedangkan dari segi keadalan nantinya E-Bike disainnya lebih bagus, full color dan modelnya lebih bervariasi, dari segi material lebih ringan, dan kuat untuk menahan beban yang berat yang terkhir dari segi keamanan E-Bike lebih aman untuk digunakan kemudian di lengkapi kunci ganda dan sepeda E-Bike tidak muda konsleting.

Kata Kunci : E-bike, Alternatif, AHP, Promethee"
93,"Simulasi Dan Analisis Perbaikan Pelayanan Kasir
Study Kasus Di Swalayan ABC
",Muchammad Zuhda Fahrudin,"Samsul Amar ST., MSc","Heri Awwalul Ilhamsyah ST., MT","Swalayan ABC merupakan suatu usaha yang bergerak dibidang  jasa yang menyediakan berbagai barang kebutuhan sehari-hari. Karena bergerak dibidang jasa, maka Swalayan ABC harus mampu melayani pelanggan dengan cepat, dan pelanggan tidak menunggu terlalu lama sehingga terjadi antrian. Pada hari sabtu minggu banyak  pengunjung yang datang untuk belanja, akan tetapi fasilitas pelayanan yang ada tidak mampu melayani banyaknya pelanggan yang meminta untuk dilayani kasir sehingga terjadi antrian. Sedangkan pada hari selain sabtu dan minggu dengan jumlah kasir yang sama yaitu 4 kasir utilitasnya rendah. Penelitiaan ini mencoba menentukan alternatife jumlah kasir terbaik pada saat hari ramai dan hari-hari biasa. Penelitian ini menggunakan software Arena 5.0 untuk membandingkan waiting time pada kondisi awal dan setiap usulan. Berdasarkan analisa dengan menambah 2 kasir pada hari sabtu dan minggu dan menggunakan 3 kasir pada hari-hari biasa diperoleh waktu tunggu yang lebih rendah serta total biaya sebesar Rp 1,415,179.19  per minggu. Dan jika mempekerjakan 4 tenaga free lance pada hari sabtu dan minggu total biaya sebesar Rp1,056,512.53. Oleh sebab itu sebaiknya Swalayan ABC mempekerjakan 6 kasir untuk hari sabtu dan minggu serta 3 kasir pada hari-hari biasa, baik menggunakan tenaga free lance maupun tidak."
94,Studi Perbaikan Penilaian Kinerja Karyawan Dengan  Menggunakan Metode Analytical Hierarchy Process (AHP) di PT. PG Candi Baru Sidoarjo,Evi Wijayanti,Trisita Novianti STP.MT,Agus Salim ST.MT,"PT. PG candi baru Sidoarjo merupakan perusahaan swasta  yang  bergerak  di bidang  produksi gula. PT. PG candi baru Sidoarjo memiliki jumlah karyawan yang cukup banyak sehingga sering terjadi kendala dalam penentuan karyawan terbaik yang akan mendapatkan promosi jabatan. Perusahaan ini sudah melakukan pengukuran kinerja bagi para karyawannya, namun hanya dilihat dari beberapa aspek saja dan masih belum menggunakan salah satu metode pengukuran kinerja karyawan yang terstruktur dengan baik. Kriteria penilaian yang digunakan oleh PT. PG candi baru Sidoarjo memiliki beberapa kekurangan, diantaranya adalah dimensi penilaian yang digunakan belum mencakup keseluruhan dari aspek penilaian kinerja yang terdapat di perusahaan dan juga belum adanya apresiasi tersendiri bagi seorang karyawan yang memiliki kinerja yang paling baik. Dalam  situasi  yang kompleks,  pengambilan keputusan tidak dipengaruhi oleh satu faktor saja melainkan multifaktor dan berbagai kepentingan. Berdasarkan hasil pembobotan yang digunakan dengan AHP, dapat diperoleh bobot kriteria yang tertinggi adalah sub aspek tugas dan sasaran kerja (41,11%), selanjutnya aspek kepemimpinan atau manajerial (33%), aspek perilaku kerja (26%). Hasil dari penilaian adalah dengan mengalihkan bobot masing-masing kriteria yang sudah didapat dari pembobotan menggunakan metode AHP dengan hasil penilaian yang dilakukan penilai. Dari hasil perhitungan menggunakan metode AHP diperoleh karyawan yang memiliki nilai tertinggi adalah Wahyu, dengan nilai sebesar 4,66816. Dengan demikian, karyawan yang bernama Wahyu berhak untuk mendapatkan promosi jabatan sesuai dengan tujuan dalam penelitian ini. 
 	
Kata Kunci : Penilaian kinerja, Metode Analytical Hierarchy Process.
"
95,"Analisis Human Error Yang Mempengaruhi Cacat Produk Dengan Menggunakan Pendekatan Human Reliability Assessment (HRA) (Studi Kasus: UD. Alfian Jaya Wedoro, Sidoarjo)",Ria nurmalita yuniar,"Fitri Agustina, ST.MT","Nachnul Ansori, ST.MT","Abstrak
	Objek penelitian ini adalah sentra alas kaki Wedoro di UD. Alfian Jaya Sidoarjo merupakan salah satu sentra produsen pembuat alas kaki. Proses kerja pada UD. Alfian jaya meliputi proses plong pembentukan pola sandal dengan mesin pemotong, proses pengesolan untuk pengeleman pada sol sandal, proses kap untuk penjahitan tali sandal, proses flogging pembuatan merek/logo sandal, proses sablon untuk memberi tulisan pada sandal, proses slep untuk menghaluskan pinggiran sandal dan terakhir pengepakan. Dari semua proses kerja tersebut, ada dua proses kerja yang berpotensi lebih besar menimbulkan kerusakan pada produk. Diantaranya, pada proses kerja pengesolan dan proses kap. Jenis cacat yang terjadi pada proses pengesolan yaitu pemolesan lem dan penempelan sol. Sedangkan pada proses kap (penjahitan tali sandal) jenis cacat yang terjadi yaitu pada penjahitan. Proses yang dipilih dalam penelitian ini, diketahui bahwa kerusakan produk dipengaruhi oleh faktor manusia sehingga cukup penting dilakukan pengukuran terhadap keandalannya..
 Penelitian ini membahas tentang human error yang berpengaruh pada cacat produk dengan pendekatan Human Reliability Assessment (HRA) dan Standarized Plant Risk-HRA (SPAR-H). Sebelumnya, akan dihitung beban kerja fisik menggunakan konsumsi energi, QEC (Quick Exposure Checklist) dan beban kerja mental menggunakan NASA-TLX. Dari hasil kesimpulan didapatkan bahwa beban kerja fisik, mental dan posisi kerjanya kurang baik. Dari hasil HEART didapatkan nilai HEP tertinggi pada bagian pengesolan task 3.1 sebesar 0,47 dan kap task 2 sebesar 0.34. Sedangkan hasil SPAR-H didapatkan nilai HEP tertinggi pada bagian pengesolan task 3.1 sebesar 0,44 dan kap task 2.4 sebesar 0.29.
Kata kunci :
HEART, SPAR-H, QEC, Konsumsi energi
"
96,Optimalisasi Produksi Lantai Kayu Dengan Menggunakan Metode Linier Programming (Studi Kasus : PT XXX),Awinda Fitria Ningtyas,"Samsul Amar., ST., MSc","Heri Awalul Ilhamsah., ST., MT","PT. XXX disini merupakan salah satu perusahaan make to stock yang bergerak dibidang industri lantai kayu. PT. XXX memproduksi beragam variasi produk lantai kayu diantaranya adalah produk lantai kayu jenis red oak, walnut natural, cherry natural dan cherry cappucino. Penelitian kali ini mengenai perencanaan produksi pada PT.XXX yang akan melangsungkan proses produksi berdasarkan tujuan pada penelitian yaitu yang bisa memaksimalkan biaya produksi pada perusahaan dengan memperhatikan kendala-kendala yang ada seperti kendala jam tenaga mesin reguler, kendala jam tenaga kerja lembur dan jumlah permintaan. Pada persoalan tersebut dalam memaksimalkan profit pada perusahaan PT.XXX menggunakan metode linier programming sebagai metode pencarian solusi namun, selain menggunakan metode linier programming dibantu dengan alat bantu software excel solver untuk menentukan analisis sensitivitas. Dilakukannya analisis sensitivitas yaitu untuk mengetahui perubahan-perubahan parameter kendala produksi terhadap perubahan solusi optimal produksi. Didapatkan total biaya produksi sebesar Rp. 804783185 pada tahun 2014.


"
97,Perencanaan Kapasitas Produksi Sandal Dengan Metode Manufacturing Resource Planning (MRP II),Putri Anjasari,Imron Kuswandi ST.MT,Sugeng Purwoko ST.MT,"ABSTRAK 
UKM  Darmo  adalah  UKM  yang  bergerak  dalam  bidang  manufaktur  yang  memproduksi  sandal  santai, 
UKM  Darmo  ini  memproduksi  berbagai  tipe  sandal  santai  dengan  macam - macam accessories dan  berbagai 
jenis ukuran baik untuk Pria maupun orang Wanita. UKM Darmo menerima pesanan konsumen yang beragam 
variasinya,  sehingga  UKM  Darmo  sering  mengalami  beberapa  masalah  yang  terjadi,  seperti  kekurangan stock 
produk  ataupun  kelebihan stock produk,  hal  ini  dapat  mengakibatkan  terjadinya  penumpukan stock digudang, 
dan  juga  UKM Darmo  sering  menghadapi  kesulitan  dalam  memenuhi  perubahan  permintaan  yang  terjadi 
ditengah  periode,  dimana  kasus  yang  sering  terjadi  adalah  penambahan  jumlah  order  yang  terjadi  mendadak, 
yang tidak bisa diatasi dengan stock yang ada.  
Metode yang digunakan dalam penelitian ini adalah Manufacturing Resource Planning (MRP II), Dengan 
menggunakan Manufacturing Resource Planning (MRP II) maka permasalahan yang dihadapi oleh perusahaan 
dapat  diselesaikan, Manufacturing  Resource  Planning (MRP  II)  sebuah  metode  perencanaan  yang  efektif  dari 
semua  sumber  daya  suatu  perusahaan  manufaktur.  Mencakup  perencanaan  operasional  dan  keuangan  dan 
mempunyai  kemampuan  simulasi  untuk  menjawab  pertanyaan  ""bagaimana  jika"".  MRP  II (Manufacturing 
Resources  Planning) terdiri  dari berbagai  fungsi  yang  saling  berhubungan:  perencanaan  bisnis,  perencanaan 
operasi  dan  penjualan,  perencanaan  produksi,  penentuan  jadwal  pokok,  kebutuhan  perencanaan  material, 
kebutuhan  perencanaan  kapasitas,  dan  pelaksanaan  sistem  pendukung  untuk  material  dan  kapasitas. MRP  II 
(Manufacturing  Resources  Planning)  merupakan  sistem  perencanaan  dan  pengendalian  yang  paling  banyak 
diterapkan pada proses produksi. MRP II (Manufacturing Resources Planning) yang berguna untuk mengontrol 
kelancaran  produksi  dan  dalam prosesnya  memenuhi  permintaan  konsumen  dengan  lebih  baik. Hasil  yang 
diperoleh dari metode ini  
Kata kunci : Manufacturing Resource Planning, Forecasting, material requirements planning."
98,Penjadwalan Produksi Menggunakan Metode Branch And bound (Studi Kasus :PTABC Tbk),Febyan Karisantiningrum Subagiyo,"Heri Awalul Ilhamsah., ST., MT","Imron Kuswandi., ST., MT","Penelitian ini membahas alternatif penjadwalan produksi yang optimal dengan menggunakan metode
branch and bound yang bertujuan untuk menentukan penjadwalan di ABC dalam meminimasi makespan.
Selama ini perusahaan tersebut menjalankan produksinya menggunakan sistem penjadwalan FCFS 
(
first come
first served
)
 dengan sistem produksi flowshop. Penelitian ini diawali menghitung waktu standart dari tiap Job
menggunakan metode pengukuran waktu dengan work sampling, kemudian dilakukan penjadwalan dengan
branch and bound.
Hasil perhitungan dengan menggunakan branch and bound penjadwalan optimal yang diusulkan adalah
Job 2 - Job 5 - Job 7 -Job 6 - Job 1 - Job 3 - Job 4 - Job 8. Penjadwalan usulan tersebut diperoleh makespan
sebesar 1562,23 menit atau 93734,02 detik. Sedangkan penjadwalan FCFS yang selama ini dilakukan ABC
memiliki makespan sebesar 1715,18 menit atau 102910,53. Selisih yang dihasilkan adalah 152,94 menit atau
9176,515 detik. Hal inilah yang dapat membuktikan bahwa penjadwalan dengan metode branch and bound
dapat meminimimasi waktu proses produksi pada ABC.
"
99,"Analisis Workload Operator Produksi Rokok Untuk Perbaikan Sistem Kerja (Studi Kasus : PT. Seribu Satu Alami, Desa Kertagena Tengah, Kecamatan Kadur, Kabupaten Pamekasan)",Khoirul Musfik,"Fitri Agustina, ST.,MT.","Nachnul Ansori, ST.,MT.","PT. Seribu Satu Alami, Pamekasan merupakan industri manufaktur yang bergerak di bidang pembuatan rokok. Dalam operasinya pabrik ini menggunakan metode manual dalam keseluruhan proses produksinya. Proses produksi pada pabrik ini dimulai dari proses pelintingan, quality control, sampai proses pengepakan (packaging). Dari pengamatan awal yang telah dilakukan banyak para pekerja yang mengeluhkan kelelahan. Kondisi tersebut disebabkan karena pekerjaan yang berulang-ulang, dilakukan dengan posisi kerja duduk selama jam kerja berlangsung serta kurangnya waktu istirahat. Selain beban kerja fisik, operator juga mengalami beban kerja mental. Hal ini dikarenakan oleh target produksi perhari yang harus dipenuhi oleh operator. Tujuan dari penelitian ini adalah untuk mengukur dan menganalisis beban kerja operator baik fisik maupun mental serta memberikan usulan perbaikan sistem kerja bagi perusahaan. Metode yang digunakan dalam penelitian ini adalah Fisiologi Kerja dan NASA-Task Load Index (TLX). Fisiologi kerja merupakan suatu metode yang digunakan untuk mengukur beban kerja fisik. Sedangkan NASA-Task Load Index (TLX) merupakan suatu metode yang digunakan untuk mengukur beban kerja mental. Berdasarkan hasil pengolahan data dan analisis data diperoleh hasil bahwa dari keseluruhan operator produksi rokok pada bagian pelintingan mengalami beban kerja yang tinggi terutama pada beban mentalnya. Maka dari itu dalam penelitian ini diperlukan usulan perbaikan untuk memperbaiki sistem kerja sebelumnya. Dimana usulan perbaikan tersebut berupa perbaikan target produksi dan perbaikan kondisi lingkungan kerja.
Kata Kunci : Beban Kerja, Fisiologi Kerja, NASA-Task Load Index (TLX), Sistem Kerja.
"
100,Analisis dan Usulan Perbaikan Pemborosan (Waste) pada Produksi Pintu Besi dengan Pendekatan Value Stream Mapping dan Ergonomi,M. Taufiqur Rohman,"Nachnul Ansori, S.T., M.T.","M. Imron Mustajib, S.T., M.T.","PT. Sekawan Karyatama Mandiri merupakan perusahaan yang memproduksi pintu besi beserta komponennya yang terletak di Sidoarjo, Jawa Timur. Industri  ini bertipe make to order yang berarti memproduksi produk sesuai pesanan konsumen. Setelah dilakukan pengamatan terhadap divisi fabrikasi, teridentifikasi banyak terjadi aktivitas pemborosan (waste). Pada penelitian ini dibahas tentang analisis pemborosan (waste) serta memberi usulan perbaikan pada proses produksi pintu besi model SG 680 H dengan pendekatan value stream mapping dan ergonomi. Berdasarkan analisis yang dilakukan terdapat enam jenis waste yang terjadi pada divisi fabrikasi yaitu Waiting time, Transport, Inventory, Innappropiate Process, Defect, dan Motion. Sedangkan usulan perbaikan berupa maintenance system, penataan layout lantai produksi, penerapan 5S, perbaikan postur kerja serta penerapan sistem pekerja rabbit chasing. Selanjutnya berdasarkan current value stream mapping pintu SG 680 H diketahui value added activity sebesar 6656 detik dan non-value added activity sebesar 2171 detik, setelah dilakukan usulan perbaikan diperoleh value added activity 6656 detik dan non-value added activity 1999 detik. Sedangkan penilaian waste motion tentang postur kerja dari pekerja pemotongan panel menggunakan RULA diperoleh grand total score 7 yang berarti diperlukan tindakan perubahan sekarang juga, setelah dilakukan usulan perbaikan postur kerja diperoleh grand total score 5 yang berarti masih diperlukan tindakan perubahan dalam waktu ke depan.

Kata kunci: Waste, Value Stream Mapping, Ergonomi, Value Added Activity, RULA"
101,"ANALISIS PRODUKTIVITAS DENGAN METODE JARINGAN SYARAF TIRUAN (JST) BERDASARKAN PENDEKATAN ERGONOMI
(Studi Kasus: UD. NATURAL, Petemon, Surabaya)",NASIKHUDDIN,"NACHNUL ANSORI, ST., MT.","M. IMRON MUSTAJIB, ST., MT.","Pertumbuhan sektor kontruksi mencapai 10,45% pada tahun 2012, adalah potensi pasar yang besar sebagai latar belakang peningkatan produktivitas UD. NATURAL, Petemon, Surabaya. Perusahaan tersebut adalah perusahaan manufaktur pembuatan kaca grafir. terdapat beberapa tahapan proses dalam pembuatan kaca grafir yang dikelompokkan menjadi 4 departemen, yaitu: cutting, sandblasting, assembly dan finishing. Proses produksi tersebut dikerjakan secara manual. Sehingga banyak faktor yang mempengaruhi produktivitas, terutama faktor ergonomi mikro dan makro. Tujuan dari penelitian ini adalah analisis produktivitas berdasarkan pendekatan ergonomi mikro maupun makro dengan metode jaringan syaraf tiruan (JST) MATLAB. Ergonomi mikro yang di analisis adalah beban kerja menggunakan %CVL, postur kerja menggunakan RULA dan lingkungan kerja fisik (kebisingan, pencahayaan, dan suhu) sedangkan ergonomi makro dianalisis mengggunakan metode Macroergonomic Analysis and Design (MEAD). Perancangan arsitektur model jaringan syaraf tiruan (JST) diketahui rancangan jaringan syaraf tiruan terbaik untuk mensimulasi model [10 10 3] adalah dengan metode pembelajaran backpropagation sigmoid bipolar (tansig) dan fungsi training adalah trainlm dengan diperoleh MSE sebesar 0,000027356 pada epoh ke-0 dan R bernilai 0,99306 ? 1,0. Pada tahap kedua dengan model [3 20 1], algoritma training yang terbaik adalah sigmoid bipolar (tansig), fungsi training adalah trainlm, dimana nilai MSE yang ditunjukkan adalah 0,027539 pada epoh ke-8 dengan R bernilai 0,796869. Berdasarkan hasil prediksi diketahui bahwa produktivitas optimum perusahaan tersebut dapat dicapai dengan kombinasi faktor ergonomi: kebisingan 85 dB, pencahayaan antara 350-700 lux, suhu 30oC, beban kerja 25%, postur kerja kategori 2 dengan dengan output penjualan sebesar Rp 3.634.275 – Rp 5.329.800 per bulan. Sedangkan alternatif perbaikan yang diusulkan berdasarkan analisis ergonomi makro adalah perbaikan job desription, pelatihan untuk masing-masing pekerja dalam meningkatkan kemampuan/skill dan perbaikan fasilitas (pembuatan display informasi, pemugaran display produk, dan warehouse) maupun perawatan mesin/peralatan. Selain itu postur kerja untuk setiap karyawan terutama pada departemen finishing guna meningkatkan produktivitas perusahaan.

Kata kunci: Produktivitas, Ergonomi, MEAD, Jaringan Syaraf Tiruan (JST)"
